Points:0,Points:1,Points:2,vtkOriginalIndices
4,-3.5,0,0
4,-3.30754,0,1
4,-3.11509,0,2
4,-2.92263,0,3
4,-2.73017,0,4
4,-2.53771,0,5
4,-2.34526,0,6
4,-2.1528,0,7
4,-1.96034,0,8
4,-1.76788,0,9
4,-1.57543,0,10
4,-1.38297,0,11
4,-1.20436,0,12
4,-1.04768,0,13
4,-0.910249,0,14
4,-0.789692,0,15
4,-0.683941,0,16
4,-0.591176,0,17
4,-0.509804,0,18
4,-0.438424,0,19
4,-0.375811,0,20
4,-0.320887,0,21
4,-0.272707,0,22
4,-0.230445,0,23
4,-0.193373,0,24
4,-0.160853,0,25
4,-0.132328,0,26
4,-0.107305,0,27
4,-0.0853552,0,28
4,-0.066101,0,29
4,-0.0492114,0,30
4,-0.034396,0,31
4,-0.0214,0,32
4,-0.01,0,33
4,0,0,34
3.83571,-3.5,0,35
3.8257,-3.30754,0,36
3.8157,-3.11509,0,37
3.80569,-2.92263,0,38
3.79569,-2.73017,0,39
3.78568,-2.53771,0,40
3.77567,-2.34526,0,41
3.76567,-2.1528,0,42
3.75566,-1.96034,0,43
3.74565,-1.76788,0,44
3.73565,-1.57543,0,45
3.72564,-1.38297,0,46
3.71636,-1.20436,0,47
3.70821,-1.04768,0,48
3.70106,-0.910249,0,49
3.6948,-0.789692,0,50
3.6893,-0.683941,0,51
3.68447,-0.591176,0,52
3.68024,-0.509804,0,53
3.67653,-0.438424,0,54
3.67328,-0.375811,0,55
3.67042,-0.320887,0,56
3.66792,-0.272707,0,57
3.66572,-0.230445,0,58
3.66379,-0.193373,0,59
3.6621,-0.160853,0,60
3.66062,-0.132328,0,61
3.65932,-0.107305,0,62
3.65818,-0.0853552,0,63
3.65718,-0.066101,0,64
3.6563,-0.0492114,0,65
3.65553,-0.034396,0,66
3.65485,-0.0214,0,67
3.65426,-0.01,0,68
3.65374,7.42124e-10,0,69
3.67899,-3.5,0,70
3.66062,-3.30754,0,71
3.64224,-3.11509,0,72
3.62387,-2.92263,0,73
3.6055,-2.73017,0,74
3.58713,-2.53771,0,75
3.56875,-2.34526,0,76
3.55038,-2.1528,0,77
3.53201,-1.96034,0,78
3.51364,-1.76788,0,79
3.49526,-1.57543,0,80
3.47689,-1.38297,0,81
3.45984,-1.20436,0,82
3.44488,-1.04768,0,83
3.43176,-0.910249,0,84
3.42025,-0.789692,0,85
3.41016,-0.683941,0,86
3.4013,-0.591176,0,87
3.39354,-0.509804,0,88
3.38672,-0.438424,0,89
3.38074,-0.375811,0,90
3.3755,-0.320887,0,91
3.3709,-0.272707,0,92
3.36687,-0.230445,0,93
3.36333,-0.193373,0,94
3.36022,-0.160853,0,95
3.3575,-0.132328,0,96
3.35511,-0.107305,0,97
3.35302,-0.0853552,0,98
3.35118,-0.066101,0,99
3.34957,-0.0492114,0,100
3.34815,-0.034396,0,101
3.34691,-0.0214,0,102
3.34582,-0.01,0,103
3.34487,1.40411e-09,0,104
3.52953,-3.5,0,105
3.50423,-3.30754,0,106
3.47892,-3.11509,0,107
3.45362,-2.92263,0,108
3.42831,-2.73017,0,109
3.40301,-2.53771,0,110
3.37771,-2.34526,0,111
3.3524,-2.1528,0,112
3.3271,-1.96034,0,113
3.30179,-1.76788,0,114
3.27649,-1.57543,0,115
3.25118,-1.38297,0,116
3.2277,-1.20436,0,117
3.2071,-1.04768,0,118
3.18903,-0.910249,0,119
3.17318,-0.789692,0,120
3.15928,-0.683941,0,121
3.14708,-0.591176,0,122
