x,y,bc_type
0,0,1
1,0,1
2,0,1
3,0,1
4,0,1
5,0,1
6,0,1
7,0,1
8,0,1
9,0,1
10,0,1
11,0,1
12,0,1
13,0,1
14,0,1
15,0,1
16,0,1
17,0,1
18,0,1
19,0,1
20,0,1
21,0,1
22,0,1
23,0,1
24,0,1
25,0,1
26,0,1
27,0,1
28,0,1
29,0,1
30,0,1
31,0,1
32,0,1
33,0,1
34,0,1
35,0,1
36,0,1
37,0,1
38,0,1
39,0,1
40,0,1
41,0,1
42,0,1
43,0,1
44,0,1
45,0,1
46,0,1
47,0,1
48,0,1
49,0,1
50,0,1
51,0,1
52,0,1
53,0,1
54,0,1
55,0,1
56,0,1
57,0,1
58,0,1
59,0,1
60,0,1
61,0,1
62,0,1
63,0,1
64,0,1
65,0,1
66,0,1
67,0,1
68,0,1
69,0,1
70,0,1
71,0,1
72,0,1
73,0,1
74,0,1
75,0,1
76,0,1
77,0,1
78,0,1
79,0,1
80,0,1
81,0,1
82,0,1
83,0,1
84,0,1
85,0,1
86,0,1
87,0,1
88,0,1
89,0,1
90,0,1
91,0,1
92,0,1
93,0,1
94,0,1
95,0,1
96,0,1
97,0,1
98,0,1
99,0,1
100,0,1
101,0,1
102,0,1
103,0,1
104,0,1
105,0,1
106,0,1
107,0,1
108,0,1
109,0,1
110,0,1
111,0,1
112,0,1
113,0,1
114,0,1
115,0,1
116,0,1
117,0,1
118,0,1
119,0,1
120,0,1
121,0,1
122,0,1
123,0,1
124,0,1
125,0,1
126,0,1
127,0,1
128,0,1
129,0,1
130,0,1
131,0,1
132,0,1
133,0,1
134,0,1
135,0,1
136,0,1
137,0,1
138,0,1
139,0,1
140,0,1
141,0,1
142,0,1
143,0,1
144,0,1
145,0,1
146,0,1
147,0,1
148,0,1
149,0,1
150,0,1
151,0,1
152,0,1
153,0,1
154,0,1
155,0,1
156,0,1
0,0,2
0,1,2
0,2,2
0,3,2
0,4,2
0,5,2
0,6,2
0,7,2
0,8,2
0,9,2
0,10,2
0,11,2
0,12,2
0,13,2
0,14,2
0,15,2
0,16,2
0,17,2
0,18,2
0,19,2
0,20,2
0,21,2
0,22,2
0,23,2
0,24,2
0,25,2
0,26,2
0,27,2
0,28,2
0,29,2
0,30,2
0,31,2
0,32,2
0,33,2
0,34,2
0,35,2
156,0,2
156,1,2
156,2,2
156,3,2
156,4,2
156,5,2
156,6,2
156,7,2
156,8,2
156,9,2
156,10,2
156,11,2
156,12,2
156,13,2
156,14,2
156,15,2
156,16,2
156,17,2
156,18,2
156,19,2
156,20,2
156,21,2
156,22,2
156,23,2
156,24,2
156,25,2
156,26,2
156,27,2
156,28,2
156,29,2
156,30,2
156,31,2
156,32,2
156,33,2
156,34,2
156,35,2
0,35,4
1,35,4
2,35,4
3,35,4
4,35,4
5,35,4
6,35,4
7,35,4
8,35,4
9,35,4
10,35,4
11,35,4
12,35,4
13,35,4
14,35,4
15,35,4
16,35,4
17,35,4
18,35,4
19,35,4
20,35,4
21,35,4
22,35,4
23,35,4
24,35,4
133,35,4
134,35,4
135,35,4
136,35,4
137,35,4
138,35,4
139,35,4
140,35,4
141,35,4
142,35,4
143,35,4
144,35,4
145,35,4
146,35,4
147,35,4
148,35,4
149,35,4
150,35,4
151,35,4
152,35,4
153,35,4
154,35,4
155,35,4
156,35,4
25,34,3
26,34,3
27,34,3
28,34,3
29,34,3
30,34,3
31,34,3
32,34,3
33,34,3
34,34,3
35,34,3
36,34,3
37,34,3
38,34,3
39,34,3
40,34,3
41,34,3
42,34,3
43,34,3
44,34,3
45,34,3
46,34,3
47,34,3
48,34,3
49,34,3
50,34,3
51,34,3
52,34,3
53,34,3
54,34,3
55,34,3
56,34,3
57,34,3
58,34,3
59,34,3
60,34,3
61,34,3
62,34,3
63,34,3
64,34,3
65,34,3
66,34,3
67,34,3
68,34,3
69,34,3
70,34,3
71,34,3
72,34,3
73,34,3
74,34,3
75,34,3
76,34,3
77,34,3
78,34,3
79,34,3
80,34,3
81,34,3
82,34,3
83,34,3
84,34,3
85,34,3
86,34,3
87,34,3
88,34,3
89,34,3
90,34,3
91,34,3
92,34,3
93,34,3
94,34,3
95,34,3
96,34,3
97,34,3
98,34,3
99,34,3
100,34,3
101,34,3
102,34,3
103,34,3
104,34,3
105,34,3
106,34,3
107,34,3
108,34,3
109,34,3
110,34,3
111,34,3
112,34,3
113,34,3
114,34,3
115,34,3
116,34,3
117,34,3
118,34,3
119,34,3
120,34,3
121,34,3
122,34,3
123,34,3
124,34,3
125,34,3
126,34,3
127,34,3
128,34,3
129,34,3
130,34,3
131,34,3
132,34,3
